"id","type","name","province_id","latitude","longitude","created_at","updated_at","deleted_at"
"200","Kabupaten","Konawe","30","-3.91717","122.08823","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"201","Kabupaten","Konawe Selatan","30","-4.19191","122.44854","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"202","Kabupaten","Konawe Utara","30","-3.41552","121.99081","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"203","Kabupaten","Kotabaru","13","-3","116","2021-10-20 15:19:47","2021-11-26 14:47:07",NULL
"204","Kota","Kotamobagu","31","0.68915","124.32678","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"205","Kabupaten","Kotawaringin Barat","14","-2.4","111.73333","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"206","Kabupaten","Kotawaringin Timur","14","-2.08333","112.75","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"207","Kabupaten","Kuantan Singingi","26","-0.47532","101.45857","2021-10-20 15:19:47","2021-11-26 14:43:05",NULL
"208","Kabupaten","Kubu Raya","12","0.01637","109.33731","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"209","Kabupaten","Kudus","10","-6.8","110.86667","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"210","Kabupaten","Kulon Progo","5","-7.645","110.02694","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"211","Kabupaten","Kuningan","9","-7","108.55","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"212","Kabupaten","Kupang","23","-9.91667","123.83333","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"213","Kota","Kupang","23","-10.21667","123.6","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"214","Kabupaten","Kutai Barat","15","-0.59417","115.51575","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"215","Kabupaten","Kutai Kartanegara","15","-0.44019","116.98139","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"216","Kabupaten","Kutai Timur","15","1.03769","117.83112","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"217","Kabupaten","Labuhan Batu","34","2.26667","100.1","2021-10-20 15:19:47","2021-11-26 14:43:04",NULL
"218","Kabupaten","Labuhan Batu Selatan","34","1.983","100.0976","2021-10-20 15:19:47","2021-11-26 14:43:04",NULL
"219","Kabupaten","Labuhan Batu Utara","34","2.33349","99.63776","2021-10-20 15:19:47","2021-11-26 14:43:04",NULL
"220","Kabupaten","Lahat","33","-3.7864","103.5428","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"221","Kabupaten","Lamandau","14","-1.83828","111.2869","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"222","Kabupaten","Lamongan","11","-7.13333","112.31667","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"223","Kabupaten","Lampung Barat","18","-5.14904","104.19309","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"224","Kabupaten","Lampung Selatan","18","-5.4531","104.9877","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"225","Kabupaten","Lampung Tengah","18","-4.86667","105.26667","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"226","Kabupaten","Lampung Timur","18","-5.10273","105.68003","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"227","Kabupaten","Lampung Utara","18","-4.81667","104.8","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"228","Kabupaten","Landak","12","0.42373","109.75917","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"229","Kabupaten","Langkat","34","3.71667","98.21667","2021-10-20 15:19:47","2021-11-26 14:43:04",NULL
"230","Kota","Langsa","21","4.47","97.93","2021-10-20 15:19:47","2021-11-26 14:43:03",NULL
"231","Kabupaten","Lanny Jaya","24","-3.91244","138.28766","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"232","Kabupaten","Lebak","3","-6.65","106.21667","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"233","Kabupaten","Lebong","4","-3.24278","102.3349","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"234","Kabupaten","Lembata","23","-8.41396","123.55225","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"235","Kota","Lhokseumawe","21","5.13333","97.06667","2021-10-20 15:19:47","2021-11-26 14:43:03",NULL
"236","Kabupaten","Lima Puluh Koto/Kota","32","-0.0168","100.5872","2021-10-20 15:19:47","2021-11-26 14:47:06",NULL
"237","Kabupaten","Lingga","17","0.2","104.61667","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"238","Kabupaten","Lombok Barat","22","-8.69583","116.11667","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"239","Kabupaten","Lombok Tengah","22","-8.7","116.3","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"240","Kabupaten","Lombok Timur","22","-8.53333","116.53333","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"241","Kabupaten","Lombok Utara","22","-8.35214","116.40152","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"242","Kota","Lubuk Linggau","33","-3.29308","102.85503","2021-10-20 15:19:47","2021-11-26 14:43:06",NULL
"243","Kabupaten","Lumajang","11","-8.11667","113.15","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"244","Kabupaten","Luwu","28","-2.5577","121.3242","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"245","Kabupaten","Luwu Timur","28","-2.50957","120.3978","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"246","Kabupaten","Luwu Utara","28","-2.6","120.25","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"247","Kabupaten","Madiun","11","-7.61667","111.65","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"248","Kota","Madiun","11","-7.63333","111.53333","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"249","Kabupaten","Magelang","10","-7.4275","110.16194","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"250","Kota","Magelang","10","-7.5","110.225","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"251","Kabupaten","Magetan","11","-7.64472","111.35917","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"252","Kabupaten","Majalengka","9","-6.81667","108.28333","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"253","Kabupaten","Majene","27","-3.15","118.86667","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"254","Kota","Makassar","28","-5.15","119.45","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"255","Kabupaten","Malang","11","-8.16667","112.66667","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"256","Kota","Malang","11","-7.975","112.63333","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"257","Kabupaten","Malinau","16","2.45","115.68333","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"258","Kabupaten","Maluku Barat Daya","19","-7.8296","126.17386","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
